,tramo,dev_creditos,dev_default_rate,dev_ic_inf,dev_ic_sup,val_creditos,val_default_rate,val_ic_inf,val_ic_sup
cash_income_share,"(-inf, 0.411]",689,0.10449927431059507,0.08380820527913349,0.12957621043724382,220,0.15,0.10884475692088177,0.20316873833647878
cash_income_share,"(0.411, 0.548]",688,0.09593023255813954,0.07611472437636496,0.1202331101568577,213,0.13145539906103287,0.09253824569410407,0.18343094103021457
cash_income_share,"(0.548, 0.669]",689,0.09433962264150944,0.07470746673649026,0.11847031011755549,261,0.12643678160919541,0.09146387581391452,0.17224696115429594
cash_income_share,"(0.669, 0.786]",688,0.09738372093023256,0.07741387496460445,0.12182479469619656,222,0.1036036036036036,0.07003264765768454,0.15066008565628414
cash_income_share,"(0.786, inf]",689,0.11756168359941944,0.09560504144729134,0.14375933852065514,235,0.18723404255319148,0.1425356480305379,0.24199368019369102
region,Centro,529,0.09073724007561437,0.06912101291037587,0.1182547475407601,181,0.15469613259668508,0.10924924858609739,0.21449605550129416
region,Lima,1420,0.11408450704225352,0.09857960169088179,0.13167185324624042,488,0.15163934426229508,0.12254513302079678,0.18617539814208167
region,Norte,667,0.10794602698650675,0.08660152326970162,0.1337807547524127,193,0.14507772020725387,0.10231967466414255,0.2016892340218262
region,Oriente,329,0.09422492401215805,0.06717520997519713,0.13064140910126446,102,0.08823529411764706,0.047115025691464585,0.15924617822079679
region,Sur,498,0.07630522088353414,0.0560951369128883,0.10300207623165769,187,0.11764705882352941,0.07898820407454138,0.17169927706164695
distance_to_branch_km,"(-inf, 5.0]",819,0.10378510378510379,0.08471422730523367,0.1265555966803305,269,0.13011152416356878,0.09506125935108765,0.17557782207931
distance_to_branch_km,"(5.0, 10.0]",1079,0.10472659870250231,0.08783696452766673,0.12442085785374157,385,0.15844155844155844,0.12536452307512294,0.1982675162951502
distance_to_branch_km,"(10.0, 20.0]",1006,0.10238568588469185,0.08513924524895894,0.12265730422969195,322,0.12111801242236025,0.08987840774269956,0.16129148584976988
distance_to_branch_km,"(20.0, 50.0]",482,0.1016597510373444,0.07775328005167043,0.13186565747858636,156,0.15384615384615385,0.10561581573913466,0.21871527203776447
distance_to_branch_km,"(50.0, inf]",57,0.017543859649122806,0.003103584706680096,0.09290966938262721,19,0.10526315789473684,0.029357941395096593,0.313945504948417
household_dependents,"(-inf, 0.0]",391,0.09974424552429667,0.07382532925269045,0.13345171551665505,104,0.16346153846153846,0.1046344949733491,0.24626534330798205
household_dependents,"(0.0, 1.0]",824,0.10679611650485436,0.08750230221276527,0.1297392570420487,292,0.14726027397260275,0.11120072423567343,0.19248070528607067
household_dependents,"(1.0, 2.0]",901,0.0932297447280799,0.07593313306312427,0.11398032803327093,301,0.13953488372093023,0.10491512866963779,0.1832397688246675
household_dependents,"(2.0, 3.0]",698,0.10028653295128939,0.08014359611041275,0.12480521285160945,234,0.11538461538461539,0.08052091900983045,0.16267287047022688
household_dependents,"(3.0, inf]",629,0.11128775834658187,0.0890314023702604,0.13826338988107068,220,0.14545454545454545,0.10495351916614619,0.198125086419232
age,"(-inf, 25.0]",331,0.09365558912386707,0.06676439002037501,0.1298706756345496,109,0.13761467889908258,0.08520256971803858,0.21470101193978974
age,"(25.0, 35.0]",1072,0.09514925373134328,0.07900171451963094,0.11418806360384003,341,0.16129032258064516,0.12606059977694573,0.20406662385268592
age,"(35.0, 45.0]",1261,0.1070578905630452,0.09117001380773662,0.12533266921597164,423,0.12529550827423167,0.09708071714555301,0.16025502520008528
age,"(45.0, 55.0]",654,0.11009174311926606,0.08834142974492167,0.13639595384407605,232,0.14655172413793102,0.10680659851094985,0.19781141629220617
age,"(55.0, inf]",125,0.088,0.04984773128723959,0.15072102911312799,46,0.08695652173913043,0.03433531187670748,0.20324935635224178
